Run;Name;analysis;RA;EIS;preference;Temp;Tail;growth;Tech change;Tech scale;join;maxprice;on;map
  ;power(1.1);2;1.11111;0.9000009;0.005;6;18;0.015;1.5;0;2000;2500;1;1
2;power(1.7);2;1.7;0.588235294;0.005;6;18;0.015;1.5;0;2000;2500;1;1
3;power(2.5);2;2.5;0.4;0.005;6;18;0.015;1.5;0;2000;2500;1;1
4;power(3.5);2;3.5;0.285714286;0.005;6;18;0.015;1.5;0;2000;2500;1;1
5;power(5);2;5;0.2;0.005;6;18;0.015;1.5;0;2000;2500;1;1
6;power(7);2;7;0.142857143;0.005;6;18;0.015;1.5;0;2000;2500;1;1
7;power(10);2;10;0.1;0.005;6;18;0.015;1.5;0;2000;2500;1;1
8;power(15);2;15;0.066666667;0.005;6;18;0.015;1.5;0;2000;2500;1;1
9;power(20);2;20;0.05;0.005;6;18;0.015;1.5;0;2000;2500;1;1
10;power(30);2;30;0.033333333;0.005;6;18;0.015;1.5;0;2000;2500;1;1
11;power(40);2;40;0.025;0.005;6;18;0.015;1.5;0;2000;2500;1;1
12;power(50);2;50;0.02;0.005;6;18;0.015;1.5;0;2000;2500;1;1
13;Eps-Zin(1.1);2;1.11111;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
14;Eps-Zin(1.7);2;1.7;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
15;Eps-Zin(2.5);2;2.5;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
16;Eps-Zin(3.5);2;3.5;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
17;Eps-Zin(5);2;5;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
18;base_case;2;7;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
19;Eps-Zin(10);2;10;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
20;Eps-Zin(15);2;15;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
21;Eps-Zin(20);2;20;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
22;Eps-Zin(30);2;30;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
23;Eps-Zin(40);2;40;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
24;Eps-Zin(50);2;50;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
25;Pinkyck_PU-NTP;2;1.11111;0.9;0.005;6;18;0.015;1.5;0;2000;2500;0;0
26;log-normal_PU-NTP;2;1.11111;0.9;0.005;6;18;0.015;1.5;0;2000;2500;0;1
27;Roe-Baker_PU-NTP;2;1.11111;0.9;0.005;6;18;0.015;1.5;0;2000;2500;0;2
28;Pinkyck_PU-TP;2;1.11111;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;0
29;log-normal_PU-TP;2;1.11111;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
30;Roe-Baker_PU-TP;2;1.11111;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;2
31;Pinkyck_EZU-NTP;2;7;0.9;0.005;6;18;0.015;1.5;0;2000;2500;0;0
32;log-normal_EZU-NTP;2;7;0.9;0.005;6;18;0.015;1.5;0;2000;2500;0;1
33;Roe-Baker_EZU-NTP;2;7;0.9;0.005;6;18;0.015;1.5;0;2000;2500;0;2
34;Pinkyck_EZU-TP;2;7;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;0
35;Roe-Baker_EZU-TP;2;7;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;2
36;Exog(0);2;7;0.9;0.005;6;18;0.015;0;0;2000;2500;1;1
37;Exog(0.25);2;7;0.9;0.005;6;18;0.015;0.25;0;2000;2500;1;1
38;Exog(0.5);2;7;0.9;0.005;6;18;0.015;0.5;0;2000;2500;1;1
39;Exog(0.75);2;7;0.9;0.005;6;18;0.015;0.75;0;2000;2500;1;1
40;Exog(1.0);2;7;0.9;0.005;6;18;0.015;1;0;2000;2500;1;1
41;Exog(1.25);2;7;0.9;0.005;6;18;0.015;1.25;0;2000;2500;1;1
42;Exog(2.);2;7;0.9;0.005;6;18;0.015;2;0;2000;2500;1;1
43;Exog(2.5);2;7;0.9;0.005;6;18;0.015;2.5;0;2000;2500;1;1
44;Exog(3.0);2;7;0.9;0.005;6;18;0.015;3;0;2000;2500;1;1
45;Endog(.25);2;7;0.9;0.005;6;18;0.015;1.5;0.25;2000;2500;1;1
46;Endog(.5);2;7;0.9;0.005;6;18;0.015;1.5;0.5;2000;2500;1;1
47;Endog(.67);2;7;0.9;0.005;6;18;0.015;1.5;0.67;2000;2500;1;1
48;Endog(.75);2;7;0.9;0.005;6;18;0.015;1.5;0.75;2000;2500;1;1
49;Endog(1.0);2;7;0.9;0.005;6;18;0.015;1.5;1;2000;2500;1;1
50;Endog(1.5);2;7;0.9;0.005;6;18;0.015;1.5;1.5;2000;2500;1;1
51;damage(8.21);2;7;0.9;0.005;8;21;0.015;1.5;0;2000;2500;1;1
52;damage(7.21);2;7;0.9;0.005;7;21;0.015;1.5;0;2000;2500;1;1
53;damage(6.21);2;7;0.9;0.005;6;21;0.015;1.5;0;2000;2500;1;1
54;damage(5.21);2;7;0.9;0.005;5;21;0.015;1.5;0;2000;2500;1;1
55;damage(4.21);2;7;0.9;0.005;4;21;0.015;1.5;0;2000;2500;1;1
56;damage(3.21);2;7;0.9;0.005;3;21;0.015;1.5;0;2000;2500;1;1
57;damage(2.21);2;7;0.9;0.005;2;21;0.015;1.5;0;2000;2500;1;1
58;damage(8.18);2;7;0.9;0.005;8;18;0.015;1.5;0;2000;2500;1;1
59;damage(7.18);2;7;0.9;0.005;7;18;0.015;1.5;0;2000;2500;1;1
60;damage(6.18);2;7;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
61;damage(5.18);2;7;0.9;0.005;5;18;0.015;1.5;0;2000;2500;1;1
62;damage(4.18);2;7;0.9;0.005;4;18;0.015;1.5;0;2000;2500;1;1
63;damage(3.18);2;7;0.9;0.005;3;18;0.015;1.5;0;2000;2500;1;1
64;damage(2.18);2;7;0.9;0.005;2;18;0.015;1.5;0;2000;2500;1;1
65;damage(8.15);2;7;0.9;0.005;8;15;0.015;1.5;0;2000;2500;1;1
66;damage(7.15);2;7;0.9;0.005;7;15;0.015;1.5;0;2000;2500;1;1
67;damage(6.15);2;7;0.9;0.005;6;15;0.015;1.5;0;2000;2500;1;1
68;damage(5.15);2;7;0.9;0.005;5;15;0.015;1.5;0;2000;2500;1;1
69;damage(4.15);2;7;0.9;0.005;4;15;0.015;1.5;0;2000;2500;1;1
70;damage(3.15);2;7;0.9;0.005;3;15;0.015;1.5;0;2000;2500;1;1
71;damage(2.15);2;7;0.9;0.005;2;15;0.015;1.5;0;2000;2500;1;1
72;damage(8.12);2;7;0.9;0.005;8;12;0.015;1.5;0;2000;2500;1;1
73;damage(7.12);2;7;0.9;0.005;7;12;0.015;1.5;0;2000;2500;1;1
74;damage(6.12);2;7;0.9;0.005;6;12;0.015;1.5;0;2000;2500;1;1
75;damage(5.12);2;7;0.9;0.005;5;12;0.015;1.5;0;2000;2500;1;1
76;damage(4.12);2;7;0.9;0.005;4;12;0.015;1.5;0;2000;2500;1;1
77;damage(3.12);2;7;0.9;0.005;3;12;0.015;1.5;0;2000;2500;1;1
78;damage(2.12);2;7;0.9;0.005;2;12;0.015;1.5;0;2000;2500;1;1
79;damage(8.9);2;7;0.9;0.005;8;9;0.015;1.5;0;2000;2500;1;1
80;damage(7.9);2;7;0.9;0.005;7;9;0.015;1.5;0;2000;2500;1;1
81;damage(6.9);2;7;0.9;0.005;6;9;0.015;1.5;0;2000;2500;1;1
82;damage(5.9);2;7;0.9;0.005;5;9;0.015;1.5;0;2000;2500;1;1
83;damage(4.9);2;7;0.9;0.005;4;9;0.015;1.5;0;2000;2500;1;1
84;damage(3.9);2;7;0.9;0.005;3;9;0.015;1.5;0;2000;2500;1;1
85;damage(2.9);2;7;0.9;0.005;2;9;0.015;1.5;0;2000;2500;1;1
86;damage(8.6);2;7;0.9;0.005;8;6;0.015;1.5;0;2000;2500;1;1
87;damage(7.6);2;7;0.9;0.005;7;6;0.015;1.5;0;2000;2500;1;1
88;damage(6.6);2;7;0.9;0.005;6;6;0.015;1.5;0;2000;2500;1;1
89;damage(5.6);2;7;0.9;0.005;5;6;0.015;1.5;0;2000;2500;1;1
90;damage(4.6);2;7;0.9;0.005;4;6;0.015;1.5;0;2000;2500;1;1
91;damage(3.6);2;7;0.9;0.005;3;6;0.015;1.5;0;2000;2500;1;1
92;damage(2.6);2;7;0.9;0.005;2;6;0.015;1.5;0;2000;2500;1;1
93;damage(8.3);2;7;0.9;0.005;8;3;0.015;1.5;0;2000;2500;1;1
94;damage(7.3);2;7;0.9;0.005;7;3;0.015;1.5;0;2000;2500;1;1
95;damage(6.3);2;7;0.9;0.005;6;3;0.015;1.5;0;2000;2500;1;1
96;damage(5.3);2;7;0.9;0.005;5;3;0.015;1.5;0;2000;2500;1;1
97;damage(4.3);2;7;0.9;0.005;4;3;0.015;1.5;0;2000;2500;1;1
98;damage(3.3);2;7;0.9;0.005;3;3;0.015;1.5;0;2000;2500;1;1
99;damage(2.3);2;7;0.9;0.005;2;3;0.015;1.5;0;2000;2500;1;1
100;growth(.025.1.5);2;7;1.5;0.005;6;18;0.025;1.5;0;2000;2500;1;1
101;growth(.02.1.2);2;7;1.2;0.005;6;18;0.02;1.5;0;2000;2500;1;1
102;growth(.01..6);2;7;0.6;0.005;6;18;0.1;1.5;0;2000;2500;1;1
103;growth(.02);2;7;0.9;0.005;6;18;0.025;1.5;0;2000;2500;1;1
104;growth(.01);2;7;0.9;0.005;6;18;0.15;1.5;0;2000;2500;1;1
105;rates(1.2);2;7;1.2;0.005;6;18;0.015;1.5;0;2000;2500;1;1
106;rates(1.1);2;7;1.1;0.005;6;18;0.015;1.5;0;2000;2500;1;1
107;rates(.8);2;7;0.8;0.005;6;18;0.015;1.5;0;2000;2500;1;1
108;rates(.6);2;7;0.6;0.005;6;18;0.015;1.5;0;2000;2500;1;1
109;rates(.5);2;7;0.5;0.005;6;18;0.015;1.5;0;2000;2500;1;1
110;backstop(2000.2500.1.50.0.00);2;7;0.9;0.005;6;18;0.015;1.5;0;2000;2500;1;1
111;backstop(1500.1875.1.50.0.00);2;7;0.9;0.005;6;18;0.015;1.5;0;1500;1875;1;1
112;backstop(1000.1250.1.50.0.00);2;7;0.9;0.005;6;18;0.015;1.5;0;1000;1250;1;1
113;backstop(500.625.1.50.0.00);2;7;0.9;0.005;6;18;0.015;1.5;0;500;625;1;1
114;backstop(400.450.1.50.0.00);2;7;0.9;0.005;6;18;0.015;1.5;0;400;450;1;1
115;backstop(300.375.1.50.0.00);2;7;0.9;0.005;6;18;0.015;1.5;0;300;375;1;1
116;backstop(200.250.1.50.0.00);2;7;0.9;0.005;6;18;0.015;1.5;0;200;250;1;1
117;backstop(300.350.0.25.0.00);2;7;0.9;0.005;6;18;0.015;0.25;0;300;350;1;1
118;backstop(300.350.0.50.0.00);2;7;0.9;0.005;6;18;0.015;0.5;0;300;350;1;1
119;backstop(300.350.1.00.0.00);2;7;0.9;0.005;6;18;0.015;1;0;300;350;1;1
120;backstop(300.350.1.50.0.00);2;7;0.9;0.005;6;18;0.015;1.5;0;300;350;1;1
121;backstop(300.350.2.00.0.00);2;7;0.9;0.005;6;18;0.015;2;0;300;350;1;1
122;backstop(300.350.3.00.0.00);2;7;0.9;0.005;6;18;0.015;3;0;300;350;1;1
123;backstop(500.600.3.00.0.00);2;7;0.9;0.005;6;18;0.015;3;0;500;600;1;1
124;backstop(5000.6000.3.00.0.00);2;7;0.9;0.005;6;18;0.015;3;0;5000;6000;1;1
125;backstop(5000.6000.1.50.0.50);2;7;0.9;0.005;6;18;0.015;1.5;0.5;5000;6000;1;1
126;backstop(300.350.1.50.0.50);2;7;0.9;0.005;6;18;0.015;1.5;0.5;300;350;1;1
127;backstop(300.350.1.50.0.67);2;7;0.9;0.005;6;18;0.015;1.5;0.67;300;350;1;1
128;backstop(300.350.1.50.0.75);2;7;0.9;0.005;6;18;0.015;1.5;0.75;300;350;1;1
129;backstop(300.350.1.50.1.0);2;7;0.9;0.005;6;18;0.015;1.5;1;300;350;1;1
130;timepref(0.8.0.0001);2;7;0.8;0.0001;6;18;0.015;1.5;0;2000;2500;1;1
131;timepref(0.81.0.0025);2;7;0.81;0.0025;6;18;0.015;1.5;0;2000;2500;1;1
132;timepref(1.02.0.0075);2;7;1.02;0.0075;6;18;0.015;1.5;0;2000;2500;1;1
133;timepref(1.284.0.01);2;7;1.284;0.01;6;18;0.015;1.5;0;2000;2500;1;1
134;timepref(0.9.0.0001);2;7;0.9;0.0001;6;18;0.015;1.5;0;2000;2500;1;1
135;timepref(0.9.0.0025);2;7;0.9;0.0025;6;18;0.015;1.5;0;2000;2500;1;1
136;timepref(0.9.0.0075);2;7;0.9;0.0075;6;18;0.015;1.5;0;2000;2500;1;1
137;timepref(0.9.0.01);2;7;0.9;0.01;6;18;0.015;1.5;0;2000;2500;1;1
138;high_risk;2;7;0.9;0.005;3;9;0.015;1.5;0;2000;2500;1;1
